P10734	kni NR0A1 CG4717	Zygotic gap protein knirps (Nuclear receptor subfamily 0 group A member 1)
P53849	GIS2 YNL255C N0852	Zinc finger protein GIS2
P32805	FZF1 SUL1 YGL254W NCR299	Zinc finger protein FZF1 (Sulfite resistance protein 1)
Q9VJS8	elB CG4220	Zinc finger protein Elbow
Q8IRH5	CG2199	Zinc finger protein CG2199
O94326	SPBC725.08	Zinc finger protein C725.08
Q9UTA1	SPAC25B8.19c SPAC683.01c	Zinc finger protein C25B8.19c
Q10096	SPAC11D3.17	Zinc finger protein C11D3.17
Q9P370	bud20 SPAC19B12.11c	Zinc finger protein bud20
Q9SSW0	AZF3 ZF3 At5g43170 MMG4.21	Zinc finger protein AZF3 (Zinc-finger protein 3)
Q9SSW2	AZF2 ZF2 At3g19580 MMB12.27 MMB12.4	Zinc finger protein AZF2 (Zinc-finger protein 2)
Q9SSW1	AZF1 ZF1 At5g67450 K8K14.19	Zinc finger protein AZF1 (Zinc finger protein OZAKGYO) (Zinc-finger protein 1)
Q05481	ZNF91	Zinc finger protein 91 (Zinc finger protein HPF7) (Zinc finger protein HTF10)
Q03938	ZNF90	Zinc finger protein 90 (Zinc finger protein HTF9)
Q03923	ZNF85	Zinc finger protein 85 (Zinc finger protein HPF4) (Zinc finger protein HTF1)
M0R120	ZNF85	Zinc finger protein 85 (Fragment)
M0QZ75	ZNF85	Zinc finger protein 85 (Fragment)
M0R385	ZNF85	Zinc finger protein 85 (Fragment)
M0QY93	ZNF85	Zinc finger protein 85 (Fragment)
M0R0J7	ZNF85	Zinc finger protein 85 (Fragment)
M0QZN6	ZNF85	Zinc finger protein 85 (Fragment)
M0R1W3	ZNF85	Zinc finger protein 85 (Fragment)
M0QXL2	ZNF85	Zinc finger protein 85 (Fragment)
M0R0V3	ZNF85	Zinc finger protein 85
P51522	ZNF83 ZNF816B	Zinc finger protein 83 (Zinc finger protein 816B) (Zinc finger protein HPF1)
M0R3A5	ZNF83	Zinc finger protein 83
M0R1T0	ZNF83	Zinc finger protein 83
M0R0P3	ZNF83	Zinc finger protein 83
M0R099	ZNF83	Zinc finger protein 83
M0R287	ZNF83	Zinc finger protein 83
M0R183	ZNF83	Zinc finger protein 83
M0QXM0	ZNF83	Zinc finger protein 83
O75541	ZNF821	Zinc finger protein 821
Q2TB10	ZNF800 PP902	Zinc finger protein 800
Q15937	ZNF79	Zinc finger protein 79 (ZNFpT7)
F5H032	ZNF79	Zinc finger protein 79
Q8N393	ZNF786	Zinc finger protein 786
Q6ZMW2	ZNF782	Zinc finger protein 782
D6RF03	ZNF765	Zinc finger protein 765 (Fragment)
Q7L2R6	ZNF765	Zinc finger protein 765
E9PDE6	ZNF765	Zinc finger protein 765
A6NN14	ZNF729	Zinc finger protein 729
Q9Y462	ZNF711 CMPX1 ZNF6	Zinc finger protein 711 (Zinc finger protein 6)
Q9Y5V0	ZNF706 HSPC038 PNAS-113	Zinc finger protein 706
Q9BU19	ZNF692	Zinc finger protein 692
Q5VV52	ZNF691	Zinc finger protein 691
Q96CS4	ZNF689	Zinc finger protein 689
Q5T5D7	ZNF684	Zinc finger protein 684
Q5T5D9	ZNF684	Zinc finger protein 684
Q5T5D8	ZNF684	Zinc finger protein 684
O95780	ZNF682	Zinc finger protein 682
Q96K58	ZNF668	Zinc finger protein 668
Q8N720	ZNF655 VIK	Zinc finger protein 655 (Vav-interacting Krueppel-like protein)
Q9UID6	ZNF639 ZASC1	Zinc finger protein 639 (Zinc finger protein ANC_2H01) (Zinc finger protein ZASC1)
J3KR68	ZNF639	Zinc finger protein 639 (Fragment)
C9J3R1	ZNF639	Zinc finger protein 639 (Fragment)
C9IZP0	ZNF639	Zinc finger protein 639 (Fragment)
J3KR59	ZNF639	Zinc finger protein 639 (Fragment)
Q7L945	ZNF627	Zinc finger protein 627
Q68DY1	ZNF626	Zinc finger protein 626
Q969S3	ZNF622 ZPR9	Zinc finger protein 622 (Zinc finger-like protein 9)
F4JS04	At4g31420	Zinc finger protein 622
Q8NB50	ZFP62	Zinc finger protein 62 homolog (Zfp-62)
Q9W3Y0	CG3224	Zinc finger protein 593 homolog
O00488	ZNF593	Zinc finger protein 593 (Zinc finger protein T86)
Q96SQ5	ZNF587	Zinc finger protein 587
Q96NG8	ZNF582	Zinc finger protein 582
Q9P0T4	ZNF581 HSPC189	Zinc finger protein 581
Q5MCW4	ZNF569	Zinc finger protein 569
Q969W8	ZNF566	Zinc finger protein 566
Q9HAH1	ZNF556	Zinc finger protein 556
K7EKA5	ZNF556	Zinc finger protein 556
M0QYW2	ZNF547	Zinc finger protein 547 (Fragment)
M0QX63	ZNF547	Zinc finger protein 547 (Fragment)
Q8IVP9	ZNF547	Zinc finger protein 547
M0QZZ8	ZNF547	Zinc finger protein 547
O15090	ZNF536 KIAA0390	Zinc finger protein 536
Q92618	ZNF516 KIAA0222	Zinc finger protein 516
Q8TBZ5	ZNF502	Zinc finger protein 502
Q96IT1	ZNF496 ZKSCAN17	Zinc finger protein 496 (Zinc finger protein with KRAB and SCAN domains 17)
Q7Z7K2	ZNF467	Zinc finger protein 467
Q02386	ZNF45 KOX5 ZNF13	Zinc finger protein 45 (BRC1744) (Zinc finger protein 13) (Zinc finger protein KOX5)
Q9NWS9	ZNF446 ZKSCAN20	Zinc finger protein 446 (Zinc finger protein with KRAB and SCAN domains 20)
O94892	ZNF432 KIAA0798	Zinc finger protein 432
Q9BUY5	ZNF426	Zinc finger protein 426
Q6IV72	ZNF425	Zinc finger protein 425
Q86VK4	ZNF410 APA1	Zinc finger protein 410 (Another partner for ARF 1) (Zinc finger protein APA-1)
Q9H9D4	ZNF408 PFM14 PRDM17	Zinc finger protein 408 (PR domain zinc finger protein 17)
Q9C0G0	ZNF407 KIAA1703	Zinc finger protein 407
Q53GI3	ZNF394 ZKSCAN14	Zinc finger protein 394 (Zinc finger protein with KRAB and SCAN domains 14)
Q9Y6Q3	ZFP37	Zinc finger protein 37 homolog (Zfp-37)
P47974	ZFP36L2 BRF2 ERF2 RNF162C TIS11D	Zinc finger protein 36, C3H1 type-like 2 (ZFP36-like 2) (Butyrate response factor 2) (EGF-response factor 2) (ERF-2) (Protein TIS11D)
Q07352	ZFP36L1 BERG36 BRF1 ERF1 RNF162B TIS11B	Zinc finger protein 36, C3H1 type-like 1 (Butyrate response factor 1) (EGF-response factor 1) (ERF-1) (Protein TIS11B)
Q14585	ZNF345	Zinc finger protein 345 (Zinc finger protein HZF10)
Q9H4Z2	ZNF335	Zinc finger protein 335 (NRC-interacting factor 1) (NIF-1)
O75467	ZNF324 ZNF324A	Zinc finger protein 324A (Zinc finger protein ZF5128)
Q9Y2G7	ZFP30 KIAA0961 ZNF745	Zinc finger protein 30 homolog (Zfp-30) (Zinc finger protein 745)
Q9Y2X9	ZNF281 GZP1 ZBP99	Zinc finger protein 281 (GC-box-binding zinc finger protein 1) (Transcription factor ZBP-99) (Zinc finger DNA-binding protein 99)
O43296	ZNF264 KIAA0412	Zinc finger protein 264
Q9Y2Q1	ZNF257 BMZF4	Zinc finger protein 257 (Bone marrow zinc finger 4) (BMZF-4)
Q14588	ZNF234 ZNF269	Zinc finger protein 234 (Zinc finger protein 269) (Zinc finger protein HZF4)
Q9NYT6	ZNF226	Zinc finger protein 226
O75362	ZNF217 ZABC1	Zinc finger protein 217
O43345	ZNF208 ZNF91L	Zinc finger protein 208 (Zinc finger protein 91-like)
O14709	ZNF197 ZKSCAN9 ZNF166	Zinc finger protein 197 (Zinc finger protein with KRAB and SCAN domains 9) (ZnF20) (pVHL-associated KRAB domain-containing protein)
Q9Y473	ZNF175	Zinc finger protein 175 (Zinc finger protein OTK18)
P49910	ZNF165 ZPF165 ZSCAN7	Zinc finger protein 165 (Cancer/testis antigen 53) (CT53) (LD65) (Zinc finger and SCAN domain-containing protein 7)
P52747	ZNF143 SBF STAF	Zinc finger protein 143 (SPH-binding factor) (Selenocysteine tRNA gene transcription-activating factor) (hStaf)
Q15928	ZNF141 D4S90	Zinc finger protein 141
P52737	ZNF136	Zinc finger protein 136
P52740	ZNF132	Zinc finger protein 132
Q9UJU3	ZNF112 ZFP112 ZNF228	Zinc finger protein 112 (Zfp-112) (Zinc finger protein 228)
Q9UII5	ZNF107 ZFD25 ZNF588	Zinc finger protein 107 (Zinc finger protein 588) (Zinc finger protein ZFD25)
Q9H2Y7	ZNF106 SH3BP3 ZFP106 ZNF474	Zinc finger protein 106 (Zfp-106) (Zinc finger protein 474)
Q96NC0	ZMAT2	Zinc finger matrin-type protein 2
Q96PE6	ZIM3 ZNF657	Zinc finger imprinted 3 (Zinc finger protein 657)
O43257	ZNHIT1 CGBP1 ZNFN4A1	Zinc finger HIT domain-containing protein 1 (Cyclin-G1-binding protein 1) (Zinc finger protein subfamily 4A member 1) (p18 Hamlet)
O95405	ZFYVE9 MADHIP SARA SMADIP	Zinc finger FYVE domain-containing protein 9 (Mothers against decapentaplegic homolog-interacting protein) (Madh-interacting protein) (Novel serine protease) (NSP) (Receptor activation anchor) (hSARA) (Smad anchor for receptor activation)
Q8N567	ZCCHC9	Zinc finger CCHC domain-containing protein 9
Q8N3Z6	ZCCHC7 HSPC086	Zinc finger CCHC domain-containing protein 7 (TRAMP-like complex RNA-binding factor ZCCHC7)
Q8WW36	ZCCHC13	Zinc finger CCHC domain-containing protein 13
D6RHC2	ZCCHC10 hCG_1639963	Zinc finger CCHC domain-containing protein 10 (Zinc finger, CCHC domain containing 10, isoform CRA_e)
G3XAM1	ZCCHC10 hCG_1639963	Zinc finger CCHC domain-containing protein 10 (Zinc finger, CCHC domain containing 10, isoform CRA_c)
B3KVL5	ZCCHC10 hCG_1639963	Zinc finger CCHC domain-containing protein 10 (Zinc finger, CCHC domain containing 10, isoform CRA_b) (cDNA FLJ16714 fis, clone UTERU2035231, highly similar to Zinc finger CCHC domain-containing protein 10)
Q8TBK6	ZCCHC10	Zinc finger CCHC domain-containing protein 10
D6R9G7	ZCCHC10	Zinc finger CCHC domain-containing protein 10
D6RIV3	ZCCHC10	Zinc finger CCHC domain-containing protein 10
O74823	SPBC337.12	Zinc finger CCCH domain-containing protein C337.12
Q9FNZ1	ZFWD2 At5g51980 MSG15.6	Zinc finger CCCH domain-containing protein 63 (AtC3H63) (Zinc finger CCCH domain and WD40 repeat-containing protein 2)
Q9SD61	At3g47120 F13I12.170	Zinc finger CCCH domain-containing protein 42 (AtC3H42)
Q9LNV5	At1g07360 F22G5.30	Zinc finger CCCH domain-containing protein 4 (AtC3H4)
Q8IXZ2	ZC3H3 KIAA0150 ZC3HDC3	Zinc finger CCCH domain-containing protein 3
Q9ZW36	At2g29580 F16P2.4	Zinc finger CCCH domain-containing protein 25 (AtC3H25)
Q9SK74	At2g20280 F11A3.17	Zinc finger CCCH domain-containing protein 21 (AtC3H21)
Q7JWR9	CG8635	Zinc finger CCCH domain-containing protein 15 homolog (DRG family regulatory protein 1 homolog)
Q8WU90	ZC3H15 DFRP1 LEREPO4 HSPC303 HT010 MSTP012 PP730	Zinc finger CCCH domain-containing protein 15 (DRG family-regulatory protein 1) (Likely ortholog of mouse immediate early response erythropoietin 4)
Q9C9F5	At1g68200 T22E19.17	Zinc finger CCCH domain-containing protein 15 (AtC3H15)
Q9C9N3	At1g66810 F4N21.6	Zinc finger CCCH domain-containing protein 14 (AtC3H14)
Q9BUG6	ZSCAN5A ZNF495 ZSCAN5	Zinc finger and SCAN domain-containing protein 5A (Zinc finger protein 495)
Q9H4T2	ZSCAN16 ZNF392 ZNF435	Zinc finger and SCAN domain-containing protein 16 (Zinc finger protein 392) (Zinc finger protein 435)
Q96SZ4	ZSCAN10 ZNF206	Zinc finger and SCAN domain-containing protein 10 (Zinc finger protein 206)
Q8NBB4	ZSCAN1	Zinc finger and SCAN domain-containing protein 1
O95365	ZBTB7A FBI1 LRF ZBTB7 ZNF857A	Zinc finger and BTB domain-containing protein 7A (Factor binding IST protein 1) (FBI-1) (Factor that binds to inducer of short transcripts protein 1) (HIV-1 1st-binding protein 1) (Leukemia/lymphoma-related factor) (POZ and Krueppel erythroid myeloid ontogenic factor) (POK erythroid myeloid ontogenic factor) (Pokemon) (TTF-I-interacting peptide 21) (TIP21) (Zinc finger protein 857A)
Q15916	ZBTB6 ZID ZNF482	Zinc finger and BTB domain-containing protein 6 (Zinc finger protein 482) (Zinc finger protein with interaction domain)
P10074	ZBTB48 HKR3 ZNF855	Zinc finger and BTB domain-containing protein 48 (Krueppel-related zinc finger protein 3) (Protein HKR3) (Zinc finger protein 855)
Q96K62	ZBTB45 ZNF499	Zinc finger and BTB domain-containing protein 45 (Zinc finger protein 499)
O43298	ZBTB43 KIAA0414 ZBTB22B ZNF297B	Zinc finger and BTB domain-containing protein 43 (Zinc finger and BTB domain-containing protein 22B) (Zinc finger protein 297B) (ZnF-x)
Q5SVQ8	ZBTB41 FRBZ1	Zinc finger and BTB domain-containing protein 41
Q9NUA8	ZBTB40 KIAA0478	Zinc finger and BTB domain-containing protein 40
O15060	ZBTB39 KIAA0352	Zinc finger and BTB domain-containing protein 39
Q9Y2Y4	ZBTB32 FAZF TZFP ZNF538	Zinc finger and BTB domain-containing protein 32 (FANCC-interacting protein) (Fanconi anemia zinc finger protein) (Testis zinc finger protein) (Zinc finger protein 538)
Q9HCK0	ZBTB26 KIAA1572 ZNF481	Zinc finger and BTB domain-containing protein 26 (Zinc finger protein 481) (Zinc finger protein Bioref)
Q99592	ZBTB18 RP58 TAZ1 ZNF238	Zinc finger and BTB domain-containing protein 18 (58 kDa repressor protein) (Transcriptional repressor RP58) (Translin-associated zinc finger protein 1) (TAZ-1) (Zinc finger protein 238) (Zinc finger protein C2H2-171)
Q05516	ZBTB16 PLZF ZNF145	Zinc finger and BTB domain-containing protein 16 (Promyelocytic leukemia zinc finger protein) (Zinc finger protein 145) (Zinc finger protein PLZF)
F4I6V2	At1g70650	Zinc finger (Ran-binding) domain-containing protein
F4ICB5	At1g18660	Zinc finger (C3HC4-type RING finger) family protein
A6NP61	ZAR1L	ZAR1-like protein
Q8IQB4	Zasp66 CG6416 Dmel_CG6416	Z band alternatively spliced PDZ-motif protein 66, isoform E
O64546	YUP8H12R.35 At1g79030	YUP8H12R.35 protein
O64514	YUP8H12R.1 At1g79370	YUP8H12R.1 protein
O74958	mmi1 SPCC736.12c	YTH domain-containing protein mmi1 (Meiotic mRNA interception protein 1)
Q9Y5A9	YTHDF2 HGRG8	YTH domain-containing family protein 2 (CLL-associated antigen KW-14) (High-glucose-regulated protein 8) (Renal carcinoma antigen NY-REN-2)
Q9BYJ9	YTHDF1 C20orf21	YTH domain-containing family protein 1 (Dermatomyositis associated with cancer putative autoantigen 1) (DACA-1)
Q86U90	YRDC DRIP3 IRIP	YrdC domain-containing protein, mitochondrial (Dopamine receptor-interacting protein 3) (Ischemia/reperfusion-inducible protein homolog) (hIRIP)
P46937	YAP1 YAP65	Yorkie homolog (65 kDa Yes-associated protein) (YAP65)
Q9NIU2	RpL5 yip6 CG17489	Yippee interacting protein 6 (Fragment)
O95619	YEATS4 GAS41	YEATS domain-containing protein 4 (Glioma-amplified sequence 41) (Gas41) (NuMA-binding protein 1) (NuBI-1) (NuBI1)
F8W0J4	YEATS4	YEATS domain-containing protein 4
Q9ULM3	YEATS2 KIAA1197	YEATS domain-containing protein 2
P53169	YBP2 YGL060W	YAP1-binding protein 2
Q92536	SLC7A6 KIAA0245	Y+L amino acid transporter 2 (Cationic amino acid transporter, y+ system) (Solute carrier family 7 member 6) (y(+)L-type amino acid transporter 2) (Y+LAT2) (y+LAT-2)
Q9UM01	SLC7A7	Y+L amino acid transporter 1 (Monocyte amino acid permease 2) (MOP-2) (Solute carrier family 7 member 7) (y(+)L-type amino acid transporter 1) (Y+LAT1) (y+LAT-1)
Q9LJP4	CSLC4 At3g28180 MIG10.8	Xyloglucan glycosyltransferase 4 (EC 2.4.1.-) (Cellulose synthase-like protein C4) (AtCslC4) (Xyloglucan synthase 4)
Q39099	XTH4 EXGT-A1 EXT At2g06850 T9F8.4	Xyloglucan endotransglucosylase/hydrolase protein 4 (At-XTH4) (XTH-4) (EC 2.4.1.207)
Q9LJR7	XTH3 At3g25050 K3G3.6	Xyloglucan endotransglucosylase/hydrolase protein 3 (At-XTH3) (XTH-3) (EC 2.4.1.207)
P24806	XTH24 MERI-5 MERI5B SEN4 At4g30270 F9N11.120	Xyloglucan endotransglucosylase/hydrolase protein 24 (At-XTH24) (XTH-24) (EC 2.4.1.207) (Endo-xyloglucan transferase) (Meristem protein 5) (MERI-5 protein) (MERI5 protein) (Xyloglucan endo-1,4-beta-D-glucanase)
Q38857	XTH22 TCH4 At5g57560 MUA2.13	Xyloglucan endotransglucosylase/hydrolase protein 22 (At-XTH22) (XTH-22) (EC 2.4.1.207) (Touch protein 4)
Q9FI31	XTH20 At5g48070 MDN11.15	Xyloglucan endotransglucosylase/hydrolase protein 20 (At-XTH20) (XTH-20) (EC 2.4.1.207)
Q9SV60	XTH2 At4g13090 F25G13.180	Xyloglucan endotransglucosylase/hydrolase protein 2 (At-XTH2) (XTH-2) (EC 2.4.1.207)
Q9ZSU4	XTH14 XTR9 At4g25820 F14M19.100	Xyloglucan endotransglucosylase/hydrolase protein 14 (At-XTH14) (XTH-14) (EC 2.4.1.207)
Q9LZJ3	XT1 At3g62720 F26K9_150	Xyloglucan 6-xylosyltransferase (AtXT1) (EC 2.4.2.39)
Q9LLL8	XSP1 At4g00230 F6N15.3	Xylem serine proteinase 1 (AtXSP1) (EC 3.4.21.-) (Cucumisin-like protein)
Q9LM66	XCP2 At1g20850 F2D10.37 F9H16.17	Xylem cysteine proteinase 2 (AtXCP2) (EC 3.4.22.-)
O65493	XCP1 At4g35350 F23E12.90	Xylem cysteine proteinase 1 (AtXCP1) (EC 3.4.22.-)
A1ZAZ7	CG18635 Dmel_CG18635	XK-related protein
Q7KVP9	Xpd CG9433 Dmel_CG9433	Xeroderma pigmentosum D, isoform A (EC 3.6.1.-)
Q6TY79	Xpd CG9433	Xeroderma pigmentosum D (Fragment)
Q6TY68	Xpd CG9433	Xeroderma pigmentosum D (Fragment)
Q6TY75	Xpd CG9433	Xeroderma pigmentosum D (Fragment)
Q6TY70	Xpd CG9433	Xeroderma pigmentosum D (Fragment)
Q9UBH6	XPR1 SYG1 XR	Xenotropic and polytropic retrovirus receptor 1 (Protein SYG1 homolog) (Xenotropic and polytropic murine leukemia virus receptor X3) (X-receptor)
P47165	XPT1 YJR133W J2118	Xanthine phosphoribosyltransferase 1 (XPRT) (EC 2.4.2.-)
P12956	XRCC6 G22P1	X-ray repair cross-complementing protein 6 (EC 3.6.4.-) (EC 4.2.99.-) (5'-deoxyribose-5-phosphate lyase Ku70) (5'-dRP lyase Ku70) (70 kDa subunit of Ku antigen) (ATP-dependent DNA helicase 2 subunit 1) (ATP-dependent DNA helicase II 70 kDa subunit) (CTC box-binding factor 75 kDa subunit) (CTC75) (CTCBF) (DNA repair protein XRCC6) (Lupus Ku autoantigen protein p70) (Ku70) (Thyroid-lupus autoantigen) (TLAA) (X-ray repair complementing defective repair in Chinese hamster cells 6)
B1AHC9	XRCC6	X-ray repair cross-complementing protein 6
B1AHC8	XRCC6 hCG_2013151	X-ray repair complementing defective repair in Chinese hamster cells 6 (Ku autoantigen, 70kDa), isoform CRA_b (X-ray repair cross-complementing protein 6) (cDNA FLJ31224 fis, clone KIDNE2004305, highly similar to ATP-dependent DNA helicase 2 subunit 1 (EC 3.6.1.-))
Q92834	RPGR RP3 XLRP3	X-linked retinitis pigmentosa GTPase regulator
Q8MLW7	Xbp1 CG9415 Dmel_CG9415	X box binding protein-1 (Fragment)
P43582	WWM1 YFL010C	WW domain-containing protein WWM1 (WW domain-containing protein interacting with metacaspase)
O14097	SPAC2F3.14c	WW domain-containing protein C2F3.14c
O13598	pi003 SPACTOKYO_453.33c SPBC11B10.08	WW domain-containing protein C11B10.08
Q9NZC7	WWOX FOR WOX1	WW domain-containing oxidoreductase (EC 1.1.1.-) (Fragile site FRA16D oxidoreductase)
Q9VP17	Wnk CG7177 Dmel_CG7177	WNK homolog, isoform F (EC 2.7.11.-) (WNK homolog, isoform H) (EC 2.7.11.-)
M9PGC5	Wnk CG7177 Dmel_CG7177	WNK homolog, isoform E (EC 2.7.11.-)
O36027	wsp1 SPAC4F10.15c	Wiskott-Aldrich syndrome protein homolog 1
P42768	WAS IMD2	Wiskott-Aldrich syndrome protein (WASp)
Q8W031	WIP5 At1g51220	WIP domain protein 5 (WIP5 protein)
Q8W030	WIP4 At3g20880	WIP domain protein 4 (WIP4 protein)
Q7Z5K2	WAPAL FOE KIAA0261 WAPL	Wings apart-like protein homolog (Friend of EBNA2 protein)
Q96I51	WBSCR16	Williams-Beuren syndrome chromosomal region 16 protein (RCC1-like G exchanging factor-like protein)
M9NDM4	wds CG17437 Dmel_CG17437	Will die slowly, isoform B (EC 2.3.1.48)
Q14191	WRN RECQ3 RECQL2	Werner syndrome ATP-dependent helicase (EC 3.6.4.12) (DNA helicase, RecQ-like type 3) (RecQ3) (Exonuclease WRN) (EC 3.1.-.-) (RecQ protein-like 2)
P0C1S8	WEE2 WEE1B	Wee1-like protein kinase 2 (EC 2.7.10.2) (Wee1-like protein kinase 1B) (Wee1B kinase)
P30291	WEE1	Wee1-like protein kinase (WEE1hu) (EC 2.7.10.2) (Wee1A kinase)
Q8L4H0	WEE1 At1g02970 F22D16.3	Wee1-like protein kinase (EC 2.7.10.2) (Wee1-At)
P54350	wee CG4488	Wee1-like protein kinase (Dwee1) (EC 2.7.10.2)
